activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,normalized_smiles
6757761,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",C=CSc1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],CHEMBL1201862,CHEMBL1544483,4.26,=,=,EC50,nM,54600.0,CHEMBL1741171,EC50,uM,54.6,54600.0,4.262807357295263,C=CSc1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-]
6776774,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Nc1nc(-c2ccco2)nn1C(=O)c1ccc(Cl)cc1,CHEMBL1201862,CHEMBL504911,4.26,=,=,EC50,nM,55400.0,CHEMBL1741171,EC50,uM,55.4,55400.0,4.2564902352715706,Nc1nc(-c2ccco2)nn1C(=O)c1ccc(Cl)cc1
6769065,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(/C=C/c1ccco1)c1ccc(NC(=O)C23CC4CC(CC(C4)C2)C3)cc1,CHEMBL1201862,CHEMBL1596753,4.26,=,=,EC50,nM,55500.0,CHEMBL1741171,EC50,uM,55.5,55500.0,4.255707016877324,O=C(/C=C/c1ccco1)c1ccc(NC(=O)C23CC4CC(CC(C4)C2)C3)cc1
6772938,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COC(=O)CN1C(c2ccc(Cl)cc2)=Nc2ccc(Cl)cc2C1c1ccccc1,CHEMBL1201862,CHEMBL1383937,4.25,=,=,EC50,nM,55900.0,CHEMBL1741171,EC50,uM,55.9,55900.0,4.252588192113577,COC(=O)CN1C(c2ccc(Cl)cc2)=Nc2ccc(Cl)cc2C1c1ccccc1
6776716,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cl.Nc1ccc2[nH]c(Cc3ccccc3)nc2c1,CHEMBL1201862,CHEMBL1520392,4.25,=,=,EC50,nM,55900.0,CHEMBL1741171,EC50,uM,55.9,55900.0,4.252588192113577,Cl.Nc1ccc2[nH]c(Cc3ccccc3)nc2c1
6757912,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCOC(=O)c1ccc(N2C(=O)c3[nH]nc(-c4ccco4)c3C2c2ccc([N+](=O)[O-])cc2)cc1,CHEMBL1201862,CHEMBL1556868,4.25,=,=,EC50,nM,56200.0,CHEMBL1741171,EC50,uM,56.2,56200.0,4.250263684430939,CCOC(=O)c1ccc(N2C(=O)c3[nH]nc(-c4ccco4)c3C2c2ccc([N+](=O)[O-])cc2)cc1
6765439,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCCCNC(=O)c1c(N)n(Cc2ccc3c(c2)OCO3)c2nc3ccccc3nc12,CHEMBL1201862,CHEMBL1389371,4.25,=,=,EC50,nM,56300.0,CHEMBL1741171,EC50,uM,56.3,56300.0,4.249491605148654,CCCCNC(=O)c1c(N)n(Cc2ccc3c(c2)OCO3)c2nc3ccccc3nc12
6754132,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCN=C(S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,CHEMBL1201862,CHEMBL1498127,4.25,=,=,EC50,nM,56600.0,CHEMBL1741171,EC50,uM,56.6,56600.0,4.247183568811729,CCN=C(S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12
6761727,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(C)CC1C(C#N)=C(N)Oc2[nH]nc(-c3cccs3)c21,CHEMBL1201862,CHEMBL1562392,4.24,=,=,EC50,nM,58100.0,CHEMBL1741171,EC50,uM,58.1,58100.0,4.235823867609669,CC(C)CC1C(C#N)=C(N)Oc2[nH]nc(-c3cccs3)c21
6761594,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCOc1ccccc1N1CCN(C(=O)c2ccc(-c3ccc(OC(C)=O)cc3)cc2)CC1,CHEMBL1201862,CHEMBL1301672,4.23,=,=,EC50,nM,58400.0,CHEMBL1741171,EC50,uM,58.4,58400.0,4.2335871528876,CCOc1ccccc1N1CCN(C(=O)c2ccc(-c3ccc(OC(C)=O)cc3)cc2)CC1
