molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1496897,N#CC1=C(N)Oc2[nH]nc(-c3ccc(F)cc3)c2C1c1ccncc1,5790.0,5790.0,5790.0,5.237321436272564,intermediate,,,Small molecule,MOL,N#CC1=C(N)Oc2[nH]nc(-c3ccc(F)cc3)c2C1c1ccncc1,YSEHYWNTDXEUNB-UHFFFAOYSA-N,333.33,2.83,100.61,5.0,2.0,2.0,3.0,
CHEMBL1479080,CC(C)c1n[nH]c2c1C(c1cccc(OC(=O)N3CCOCC3)c1)C(C#N)=C(N)O2,5800.0,5800.0,5800.0,5.236572006437063,intermediate,,,Small molecule,MOL,CC(C)c1n[nH]c2c1C(c1cccc(OC(=O)N3CCOCC3)c1)C(C#N)=C(N)O2,VDPBIFHDBGERIF-UHFFFAOYSA-N,409.45,2.58,126.49,7.0,2.0,3.0,2.0,
CHEMBL1589425,CCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.[Br-],5800.0,5800.0,5800.0,5.236572006437063,intermediate,,,Small molecule,MOL,CCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.[Br-],DXLHUHJKEMQMBH-PNNXLEGYSA-M,537.05,8.84,0.00,1.0,0.0,12.0,2.0,
CHEMBL1491158,Cc1sc(NC(=O)/C=C/C(=O)O)c(C(N)=O)c1-c1ccc(C(C)(C)C)cc1,5820.0,5820.0,5820.0,5.235077015350111,intermediate,,,Small molecule,MOL,Cc1sc(NC(=O)/C=C/C(=O)O)c(C(N)=O)c1-c1ccc(C(C)(C)C)cc1,LXJGLXAANUMNTH-MDZDMXLPSA-N,386.47,3.70,109.49,4.0,3.0,5.0,2.0,
CHEMBL1381768,O=S(=O)(/C(=C/c1ccc(C(F)(F)F)cc1)c1nc2ccccc2[nH]1)c1ccccc1,5850.0,5850.0,5850.0,5.232844133917819,intermediate,,,Small molecule,MOL,O=S(=O)(/C(=C/c1ccc(C(F)(F)F)cc1)c1nc2ccccc2[nH]1)c1ccccc1,GFNKOHYICHFZDD-XSFVSMFZSA-N,428.44,5.55,62.82,3.0,1.0,4.0,4.0,
CHEMBL1419822,Cn1c(=O)[nH]c(=O)c2c1nc([N+](=O)[O-])n2Cc1ccccc1,5870.0,5870.0,5870.0,5.231361898752386,intermediate,,,Small molecule,MOL,Cn1c(=O)[nH]c(=O)c2c1nc([N+](=O)[O-])n2Cc1ccccc1,OUPVCASXISVAPH-UHFFFAOYSA-N,301.26,0.38,115.82,7.0,1.0,3.0,3.0,
CHEMBL1455724,CCOC(=O)CSc1nnc(NCC(=O)OC)c(O)n1,5870.0,5870.0,5870.0,5.231361898752386,intermediate,,,Small molecule,MOL,CCOC(=O)CSc1nnc(NCC(=O)OC)c(O)n1,MBIHPOLMAULLDA-UHFFFAOYSA-N,302.31,-0.18,123.53,10.0,2.0,7.0,1.0,
CHEMBL1488929,CCOC(=O)c1cnc2ccc(C)cc2c1Sc1ccccc1,5870.0,5870.0,5870.0,5.231361898752386,intermediate,,,Small molecule,MOL,CCOC(=O)c1cnc2ccc(C)cc2c1Sc1ccccc1,KHAUJNRNSHWWKX-UHFFFAOYSA-N,323.42,4.87,39.19,4.0,0.0,4.0,3.0,
CHEMBL1568915,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,5880.0,5880.0,5880.0,5.230622673923861,intermediate,,,Small molecule,MOL,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,KDCSSVADTHDYGI-NDEGSFCNSA-N,454.70,7.75,54.37,2.0,1.0,5.0,0.0,
CHEMBL1424562,O=C(Nc1ccccc1)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,5920.0,5920.0,5920.0,5.22767829327708,intermediate,,,Small molecule,MOL,O=C(Nc1ccccc1)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,WILVTSRBYJQXPP-UHFFFAOYSA-N,363.85,3.61,77.94,5.0,1.0,4.0,3.0,
CHEMBL1353155,O=C(CCCN1C(=O)/C(=C\c2cccs2)SC1=S)Nc1ccc(O)cc1,5950.0,5950.0,5950.0,5.22548303427145,intermediate,,,Small molecule,MOL,O=C(CCCN1C(=O)/C(=C\c2cccs2)SC1=S)Nc1ccc(O)cc1,PWJJIPLEGRVLQL-RVDMUPIBSA-N,404.54,4.07,69.64,6.0,2.0,6.0,2.0,
CHEMBL99408,Nc1ccc2ncccc2c1,5950.0,5950.0,5950.0,5.22548303427145,intermediate,,,Small molecule,MOL,Nc1ccc2ncccc2c1,RJSRSRITMWVIQT-UHFFFAOYSA-N,144.18,1.82,38.91,2.0,1.0,0.0,2.0,
CHEMBL1400512,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccccc2)C=C(Br)C(=O)c2ccccc21,5970.0,5970.0,5970.0,5.224025668870631,intermediate,,,Small molecule,MOL,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccccc2)C=C(Br)C(=O)c2ccccc21,WYWVFHQWDDIXIR-UHFFFAOYSA-N,542.39,5.34,98.77,6.0,1.0,8.0,2.0,
CHEMBL1496231,COC(CNC(=O)c1ccc2c3c(onc13)-c1ccccc1C2=O)OC,5990.0,5990.0,5990.0,5.2225731776106885,intermediate,,,Small molecule,MOL,COC(CNC(=O)c1ccc2c3c(onc13)-c1ccccc1C2=O)OC,HGMKBBRZPVVVKX-UHFFFAOYSA-N,352.35,2.39,90.66,6.0,1.0,5.0,3.0,
CHEMBL3144936,CCOC(=O)c1cnc(-n2[nH]c(C)c(Cc3ccccc3)c2=O)[nH]c1=O,5990.0,5990.0,5990.0,5.2225731776106885,intermediate,,,Small molecule,MOL,CCOC(=O)c1cnc(-n2[nH]c(C)c(Cc3ccccc3)c2=O)[nH]c1=O,VOBINPUJPYFQKS-UHFFFAOYSA-N,354.37,1.32,109.84,6.0,2.0,5.0,3.0,
CHEMBL1508051,ClC(Cl)(Cl)c1nc2ccccc2n2nncc12,6030.0,6030.0,6030.0,5.219682687859849,intermediate,,,Small molecule,MOL,ClC(Cl)(Cl)c1nc2ccccc2n2nncc12,RAJNSLIDHIYJAD-UHFFFAOYSA-N,287.54,3.10,43.08,4.0,0.0,0.0,3.0,
CHEMBL1602084,Cc1cccc(Cn2ncc(Cl)c(Cl)c2=O)c1,6040.0,6040.0,6040.0,5.218963061378869,intermediate,,,Small molecule,MOL,Cc1cccc(Cn2ncc(Cl)c(Cl)c2=O)c1,GKYCIQYGTIUXRJ-UHFFFAOYSA-N,269.13,2.91,34.89,3.0,0.0,2.0,2.0,
CHEMBL1412143,O=[N+]([O-])c1ccc(Sc2nc(O)c3ccccc3n2)c([N+](=O)[O-])c1,6050.0,6050.0,6050.0,5.2182446253475305,intermediate,,,Small molecule,MOL,O=[N+]([O-])c1ccc(Sc2nc(O)c3ccccc3n2)c([N+](=O)[O-])c1,DKIQDIQJQPRRDL-UHFFFAOYSA-N,344.31,3.30,132.29,8.0,1.0,4.0,3.0,
CHEMBL1564250,CN(C)C(=S)N=Nc1[nH]c2ccccc2c1O,6070.0,6070.0,6070.0,5.2168113089247425,intermediate,,,Small molecule,MOL,CN(C)C(=S)N=Nc1[nH]c2ccccc2c1O,OWBQGZHQCUBQSR-UHFFFAOYSA-N,248.31,2.80,63.98,3.0,2.0,1.0,2.0,
