molecule_chembl_id,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1374665,,,Small molecule,MOL,Cc1cccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c1,RKSZLYBJRMWRCR-UHFFFAOYSA-N,306.75,1.65,49.85,4.0,0.0,2.0,1.0,
CHEMBL1375884,,,Small molecule,MOL,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3ccc(F)cc3)n2)c1,ITASSEXAPRJURO-UHFFFAOYSA-N,419.87,3.80,89.02,5.0,1.0,5.0,3.0,
CHEMBL1385690,,,Small molecule,MOL,CCCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],AYPWDUGRNFDGTN-UHFFFAOYSA-N,406.42,2.77,138.21,11.0,1.0,9.0,3.0,
CHEMBL1385784,,,Small molecule,MOL,CC(=O)n1cc(N(C(=O)CCl)c2ccc(Cl)cc2)c2ccccc21,QWJCBDOFCRYVGC-UHFFFAOYSA-N,361.23,4.86,42.31,3.0,0.0,3.0,3.0,
CHEMBL1393283,,,Small molecule,MOL,CCOC(=O)C1=C(c2ccccc2)N=C(N)NC1c1ccc(OCc2ccc(C(=O)OC)cc2)cc1,OMGCEXFUZSETOU-UHFFFAOYSA-N,485.54,3.99,112.24,8.0,2.0,8.0,3.0,
CHEMBL1393351,,,Small molecule,MOL,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N(Cc1ccccc1)[C@H]2c1ccc(F)c(Br)c1,ZESNJJBGEWLRGV-KAKWUFLPSA-N,414.32,5.50,20.31,1.0,0.0,3.0,2.0,
CHEMBL1393568,,,Small molecule,MOL,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3F)ncc2Cl)s1,SPGSGJRWIYOHPP-UHFFFAOYSA-N,459.94,3.07,114.80,9.0,1.0,6.0,3.0,
CHEMBL1402456,,,Small molecule,MOL,Oc1nc(Nc2ccccc2)cc2ccccc12,UZQIOQVHUUAJOZ-UHFFFAOYSA-N,236.27,3.68,45.15,3.0,2.0,2.0,3.0,
CHEMBL1403320,,,Small molecule,MOL,O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,WWUORVUWOSGFQC-UHFFFAOYSA-N,401.88,3.03,89.02,5.0,1.0,6.0,3.0,
CHEMBL1408271,,,Small molecule,MOL,CCCc1n[nH]c(O)c1C(c1ccccc1)C(C#N)C#N,HPFUZDVPMPXMLA-UHFFFAOYSA-N,280.33,2.86,96.49,4.0,2.0,5.0,2.0,
CHEMBL1414175,,,Small molecule,MOL,COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1OC,PEDXHPZSFZQYMI-LFIBNONCSA-N,322.36,3.51,51.13,4.0,0.0,4.0,2.0,
CHEMBL1415513,,,Small molecule,MOL,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(F)cc2)o1)c1c(C)n[nH]c1O,IACRSNRLSUSVQH-UHFFFAOYSA-N,368.37,3.74,110.96,5.0,4.0,4.0,4.0,
CHEMBL1415639,,,Small molecule,MOL,CCOC(=O)CC1=NN(c2ccccc2)C(=O)C1,YSNRXCNLMQFZGG-UHFFFAOYSA-N,246.27,1.73,58.97,4.0,0.0,4.0,1.0,
CHEMBL1424975,,,Small molecule,MOL,O=C1C2=[N+]([O-])C3CCCCC3[N+]([O-])=C2c2ccccc21,CSPAZJUKGODKGZ-UHFFFAOYSA-N,270.29,1.46,69.21,3.0,0.0,0.0,1.0,
CHEMBL1425245,,,Small molecule,MOL,COC(CN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccc(C)cc1)OC,BPEKVQISZFRBFY-UHFFFAOYSA-N,410.94,3.17,67.87,4.0,1.0,9.0,1.0,
CHEMBL1432707,,,Small molecule,MOL,COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1,FKVLEVTZACLFAJ-UHFFFAOYSA-N,316.31,0.62,85.80,7.0,0.0,2.0,1.0,
CHEMBL1432870,,,Small molecule,MOL,CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1cccnc1)Cc1ccccc1Cl,BHRDJGZWRNNORC-UHFFFAOYSA-N,453.02,5.33,59.73,7.0,0.0,7.0,4.0,
CHEMBL1432973,,,Small molecule,MOL,CCCCCn1c(N)c(C(=O)NCc2cccs2)c2nc3ccccc3nc21,URGDMIFJKCBJNY-UHFFFAOYSA-N,393.52,4.35,85.83,6.0,2.0,7.0,4.0,
CHEMBL1433014,,,Small molecule,MOL,N#CC1=C(N)C(C#N)(C#N)[C@H](c2c(F)cccc2F)[C@H]2CC3(CC=C12)OCCO3,DLJYRDMGGUMXOM-UGSOOPFHSA-N,394.38,2.91,115.85,6.0,1.0,1.0,1.0,
CHEMBL1437683,,,Small molecule,MOL,O=[N+]([O-])c1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)nc1,HIIFGFBAURJFDP-UHFFFAOYSA-N,332.26,2.84,90.17,5.0,0.0,3.0,2.0,
CHEMBL1447306,,,Small molecule,MOL,CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccccc1,DGSFFYVACCJJGR-PDGQHHTCSA-N,328.38,3.43,59.28,4.0,1.0,3.0,3.0,
CHEMBL1447341,,,Small molecule,MOL,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccc(C(F)(F)F)cc1,VCQWDYKZRKWDIA-UHFFFAOYSA-N,367.11,3.38,61.19,5.0,0.0,3.0,2.0,
CHEMBL1449794,,,Small molecule,MOL,Cc1ccccc1CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,OPZXUEIGPNYNBQ-IBGZPJMESA-N,457.55,4.16,111.39,7.0,1.0,7.0,3.0,
CHEMBL1454614,,,Small molecule,MOL,O=C1C=C(N2CCOCC2)c2ccccc2C1=O,CGVPOLUKPMAOAN-UHFFFAOYSA-N,243.26,1.13,46.61,4.0,0.0,1.0,1.0,
CHEMBL1463943,,,Small molecule,MOL,COc1ccc(/C=C/C(=O)c2ccccc2)cc1COc1ccc(F)cc1,BZHLMTRMEIEVLC-NTUHNPAUSA-N,362.40,5.31,35.53,3.0,0.0,7.0,3.0,
CHEMBL1464042,,,Small molecule,MOL,COC(=O)c1sc(-c2ccc(C(C)(C)C)cc2)cc1NC(=O)/C=C/C(=O)O,BRPXCJFJZAPABY-MDZDMXLPSA-N,387.46,4.08,92.70,5.0,2.0,5.0,2.0,
CHEMBL1471779,,,Small molecule,MOL,COC(=O)c1c(C)oc2ccc(N(C(=O)c3ccncc3)S(=O)(=O)c3ccc4ccccc4c3)cc12,YTCZRKFMXLKHJV-UHFFFAOYSA-N,500.53,5.11,106.78,7.0,0.0,5.0,5.0,
CHEMBL1471907,,,Small molecule,MOL,COc1cc(/C=C2/SC(=S)NC2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,DSHGGRRHDCDVMV-MHWRWJLKSA-N,421.52,3.26,81.70,7.0,1.0,5.0,2.0,
