molecule_chembl_id,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1498136,,,Small molecule,MOL,O=[N+]([O-])c1ccc(Oc2cccc(F)c2)c2ccncc12,UBIKCGCGHYJMJW-UHFFFAOYSA-N,284.25,4.07,65.26,4.0,0.0,3.0,3.0,
CHEMBL1498329,,,Small molecule,MOL,CCOc1cc(C2C(C#N)=C(N)Oc3[nH]nc(-c4ccccc4)c32)ccc1O,JTFJZVAGCAHSDN-UHFFFAOYSA-N,374.40,3.40,117.18,6.0,3.0,4.0,3.0,
CHEMBL1504810,,,Small molecule,MOL,CCCCOP(=O)(OCCCC)C1(NS(=O)(=O)c2ccccc2)C=CC(=O)c2ccccc21,YTKZIUFDINVYGN-UHFFFAOYSA-N,491.55,5.40,98.77,6.0,1.0,12.0,2.0,
CHEMBL1522100,,,Small molecule,MOL,C=COC(=O)CSc1snc(SCC(=O)OC)c1C#N,LPYPBNDLZWQTLT-UHFFFAOYSA-N,330.41,2.06,89.28,9.0,0.0,7.0,1.0,
CHEMBL1522275,,,Small molecule,MOL,CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1.Cl,PKZVSMQHWDRYMQ-YDALLXLXSA-N,363.84,2.23,99.08,6.0,1.0,6.0,2.0,
CHEMBL1527616,,,Small molecule,MOL,O=C(CCl)NCc1c(Cl)cccc1-n1cccc1,LWBCMDZSFPGJCQ-UHFFFAOYSA-N,283.16,2.99,34.03,2.0,1.0,4.0,2.0,
CHEMBL1537363,,,Small molecule,MOL,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3F)ncc2Cl)s1,RTGUMSVPNPAQGK-UHFFFAOYSA-N,455.92,3.47,114.80,8.0,1.0,6.0,3.0,
CHEMBL1537553,,,Small molecule,MOL,O=C1C=C(N(CCO)Cc2ccccc2)c2ccccc2C1=O,HCOLIVYGXAABOJ-UHFFFAOYSA-N,307.35,2.29,57.61,4.0,1.0,5.0,2.0,
CHEMBL1537588,,,Small molecule,MOL,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,IYWAWMLPAXYKLU-UHFFFAOYSA-N,303.32,2.41,64.85,5.0,0.0,2.0,3.0,
CHEMBL1544131,,,Small molecule,MOL,Cc1ccc(-n2ncc(Br)c(Br)c2=O)cc1,ZCPAEHXABHSKCD-UHFFFAOYSA-N,344.01,3.07,34.89,3.0,0.0,1.0,2.0,
CHEMBL1556185,,,Small molecule,MOL,CC(=O)N(CCC(Cc1ccccc1)c1ccc2c(c1)OCO2)Cc1ccccc1F,XJUMSEONBAMVST-UHFFFAOYSA-N,419.50,5.32,38.77,3.0,0.0,8.0,3.0,
CHEMBL1556187,,,Small molecule,MOL,O=c1oc(-c2ccccc2Cl)nc2ccsc12,RVSYWOORIBXTII-UHFFFAOYSA-N,263.70,3.57,43.10,4.0,0.0,1.0,3.0,
CHEMBL1556273,,,Small molecule,MOL,Cc1cc(C)cc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)c1,KOUSZODOLMDLOR-UHFFFAOYSA-N,380.50,5.63,57.36,2.0,2.0,5.0,5.0,
CHEMBL1561089,,,Small molecule,MOL,N#Cc1nccnc1S(=O)(=O)c1cccs1,HGCFMGDVMNCLNU-UHFFFAOYSA-N,251.29,1.24,83.71,6.0,0.0,2.0,2.0,
CHEMBL1572967,,,Small molecule,MOL,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccc(F)cc1,YIGYFDAHCNYMIX-UHFFFAOYSA-N,317.10,2.50,61.19,5.0,0.0,3.0,2.0,
CHEMBL1573118,,,Small molecule,MOL,O=C(OC(c1ccc(NS(=O)(=O)c2ccccc2)cc1)(C(F)(F)F)C(F)(F)F)c1ccc([N+](=O)[O-])cc1,ZQYJJPJRNKKVHO-UHFFFAOYSA-N,548.42,5.57,115.61,6.0,1.0,7.0,3.0,
CHEMBL1573221,,,Small molecule,MOL,N#CC1=C(N)C(C#N)(C#N)C(c2cccnc2)C2CN(C(=O)OCc3ccccc3)CC=C12,OVLOCCUXDZDXIE-UHFFFAOYSA-N,436.48,3.14,139.82,7.0,1.0,3.0,2.0,
CHEMBL1576130,,,Small molecule,MOL,Cc1cc(C)n(-c2ccc(NN=C(C#N)C#N)cc2)n1,PYUGYNUGSVVUQX-UHFFFAOYSA-N,264.29,2.30,89.79,6.0,1.0,3.0,2.0,
CHEMBL1582771,,,Small molecule,MOL,c1coc(-c2nnc(-c3ccco3)nn2)c1,WBVSZPHBBYURDY-UHFFFAOYSA-N,214.18,1.79,77.84,6.0,0.0,2.0,3.0,
CHEMBL1582891,,,Small molecule,MOL,Nc1ccc2nc(N3CCOCC3)sc2c1,XNMBVXZHRNOPKG-UHFFFAOYSA-N,235.31,1.72,51.38,5.0,1.0,1.0,2.0,
CHEMBL1603885,,,Small molecule,MOL,O=C(CSCc1cc(O)n[nH]1)Nc1ccc(F)cc1,YPGQIKIRNRXJDK-UHFFFAOYSA-N,281.31,2.13,78.01,4.0,3.0,5.0,2.0,
CHEMBL1605235,,,Small molecule,MOL,O=[N+]([O-])c1cc([N+](=O)[O-])c2oc(-c3ccccc3)c(Br)c2c1O,HSRCLZZBSKZNHY-UHFFFAOYSA-N,379.12,4.38,119.65,6.0,1.0,3.0,3.0,
CHEMBL1605394,,,Small molecule,MOL,CCCCOc1ccc(C2C3CN(C(=O)OCC)CC=C3C(C#N)=C(N)C2(C#N)C#N)cc1OC,OPNSQROIYSQIMR-UHFFFAOYSA-N,475.55,3.76,145.39,8.0,1.0,7.0,1.0,
CHEMBL1606613,,,Small molecule,MOL,COc1ccccc1-c1cc(C(F)(F)F)nc(S(C)(=O)=O)n1,MABPZKJJTICMDB-UHFFFAOYSA-N,332.30,2.57,69.15,5.0,0.0,3.0,2.0,
CHEMBL1611642,,,Small molecule,MOL,Cc1n[nH]c2c1C(c1c(C)nn(C)c1C)C(C#N)=C(N)O2,JYPHNPFXQGPYOH-UHFFFAOYSA-N,284.32,1.29,105.54,6.0,2.0,1.0,2.0,
CHEMBL1611843,,,Small molecule,MOL,COC(CN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccc(Cl)cc1)OC,CNFMQRQCIJHJNG-UHFFFAOYSA-N,431.36,3.52,67.87,4.0,1.0,9.0,1.0,
CHEMBL1620590,,,Small molecule,MOL,CCOc1ccc(Cl)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,OYPLZABZFCCSOS-UHFFFAOYSA-N,362.82,3.39,107.05,5.0,4.0,5.0,3.0,
CHEMBL1720482,,,Small molecule,MOL,CNCC(O)CN(c1ccccc1)c1ccccc1,YENJFIYRYULCHU-UHFFFAOYSA-N,256.35,2.40,35.50,3.0,2.0,6.0,2.0,
CHEMBL1794081,,,Small molecule,MOL,O=C(O)c1ccc([N+](=O)[O-])c2c1C(=O)c1ccccc1C2=O,GIWPTIALDGRHLG-UHFFFAOYSA-N,297.22,2.07,114.58,5.0,1.0,2.0,2.0,
CHEMBL1979221,,,Small molecule,MOL,COc1cc(/C=N/NC(=S)Nc2cccc(Cl)c2C)ccc1OCC(=O)N1CC(C)OC(C)C1,LRUMHJWUSZOFLY-KBKYJPHKSA-N,505.04,3.99,84.42,6.0,2.0,7.0,2.0,
CHEMBL1979558,,,Small molecule,MOL,O=C1/C(=N/c2ccc(O)cc2)C(Cl)=C(O)c2ccccc21,SWVJYUGDITUJRT-NBVRZTHBSA-N,299.71,3.83,69.89,4.0,2.0,1.0,2.0,
CHEMBL1979747,,,Small molecule,MOL,Cc1c(/C=N/Nc2nc3ccccc3[nH]2)c2ccccc2n1C,KINGBZOGECVTFJ-YBFXNURJSA-N,303.37,3.81,58.00,4.0,2.0,3.0,4.0,
CHEMBL1980681,,,Small molecule,MOL,COc1ccc(/C=N/NC(=O)c2nn(-c3ccc(Cl)cc3)c(=O)c3c(N)scc23)cc1,OBKQMYZOTJHQIJ-YSURURNPSA-N,453.91,3.46,111.60,8.0,2.0,5.0,4.0,
CHEMBL2094422,,,Small molecule,MOL,O=C(Cc1cc(O)[nH]n1)N/N=C/C=C/c1ccccc1,FYVVJTZSEOXUIW-DUEVJXGLSA-N,270.29,1.47,90.37,4.0,3.0,5.0,2.0,
CHEMBL3145001,,,Small molecule,MOL,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(C(=O)O)cc1)c1c(C)[nH]n(-c2ccccc2)c1=O,PFRXTDRRFFQXBY-UHFFFAOYSA-N,480.52,4.14,112.88,5.0,3.0,6.0,5.0,
CHEMBL3145018,,,Small molecule,MOL,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccccc1[N+](=O)[O-])C(C#N)C#N,OARIAFKCQWDTON-UHFFFAOYSA-N,373.37,3.18,128.51,6.0,1.0,5.0,3.0,
CHEMBL3145021,,,Small molecule,MOL,Cc1[nH]n(C)c(=O)c1C(=O)c1c(-c2ccccc2Cl)noc1C,ZURZEWJXXMCGDW-UHFFFAOYSA-N,331.76,2.87,80.89,5.0,1.0,3.0,3.0,
CHEMBL3198793,,,Small molecule,MOL,CC1=C(C)/C(=N\OC(=O)/C=C/c2ccccc2)C=CC1=O,DPSWUEOTBNLHEG-OIJFLVMVSA-N,281.31,3.07,55.73,4.0,0.0,3.0,1.0,
CHEMBL3199015,,,Small molecule,MOL,CC1=NC2(O)c3ccccc3C(=O)C2(O)/C1=C(/O)OC(C)C,SRHWFLZFMIMNFP-OWBHPGMISA-N,303.31,1.43,99.35,6.0,3.0,2.0,1.0,
CHEMBL3208859,,,Small molecule,MOL,O=C(C/C=N\OCc1c(Cl)cccc1Cl)Oc1ccc(Cl)cc1Cl,ZVUUOWQEGNKERE-YXSASFKJSA-N,407.08,5.80,47.89,4.0,0.0,6.0,2.0,
CHEMBL3210668,,,Small molecule,MOL,Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccco2)cc1C,FHYQZCNGVIMWML-XMHGGMMESA-N,347.75,4.15,81.26,6.0,1.0,3.0,2.0,
CHEMBL3210913,,,Small molecule,MOL,COC(=O)c1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2)cc1,QIMVLNZYLGDHGO-RCCKNPSSSA-N,387.78,3.72,94.42,7.0,1.0,4.0,2.0,
CHEMBL299853,,,Small molecule,MOL,O=C1C=C(Nc2ccccc2)c2ccccc2C1=O,NMSRYZBDOYDJBJ-UHFFFAOYSA-N,249.27,2.91,46.17,3.0,1.0,2.0,2.0,
CHEMBL98123,PAPAVERINE HYDROCHLORIDE,2.0,Small molecule,MOL,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl,UOTMYNBWXDUBNX-UHFFFAOYSA-N,375.85,3.86,49.81,5.0,0.0,6.0,3.0,
CHEMBL478754,,,Small molecule,MOL,COc1cc2c(cc1OC)-c1c3c(cc4c1[C@@H](C2)N(C)CC4)OCO3,YJWBWQWUHVXPNC-CQSZACIVSA-N,339.39,3.18,40.16,5.0,0.0,2.0,2.0,
CHEMBL572189,,,Small molecule,MOL,Cc1cc(OC(=O)c2ccccc2)n(CCC#N)n1,GUZMAFFEUZOWIP-UHFFFAOYSA-N,255.28,2.32,67.91,5.0,0.0,4.0,2.0,
CHEMBL1201049,ECONAZOLE NITRATE,4.0,Small molecule,MOL,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,DDXORDQKGIZAME-UHFFFAOYSA-N,444.70,5.80,27.05,3.0,0.0,6.0,3.0,
CHEMBL1300684,,,Small molecule,MOL,Nc1nc(C(=O)N2CCOCC2)nn1C(=O)c1ccc(Cl)cc1,VCXQPXLAECQIKZ-UHFFFAOYSA-N,335.75,0.67,103.34,7.0,1.0,2.0,2.0,
CHEMBL1300695,,,Small molecule,MOL,CC(=O)N(C)Cc1ccc(C(=O)CCl)cc1,KASXQVKGTIOCGV-UHFFFAOYSA-N,239.70,2.09,37.38,2.0,0.0,4.0,1.0,
CHEMBL1307520,,,Small molecule,MOL,COc1ccc(OC)c(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)c1,LYGQTWNGWHPMHH-UHFFFAOYSA-N,344.37,2.36,116.28,6.0,4.0,5.0,3.0,
CHEMBL1315948,,,Small molecule,MOL,CCc1ccc(Nc2n[n+](-c3ccccc3)c(-c3c(Cl)cccc3Cl)s2)cc1.[Cl-],BQOXWTWXGDCHGV-UHFFFAOYSA-M,462.83,6.70,28.80,3.0,1.0,5.0,4.0,
CHEMBL1319867,,,Small molecule,MOL,O=[N+]([O-])c1c(Nc2ccccc2O)cc(Cl)c2nonc12,BBXXJKHZFAFARR-UHFFFAOYSA-N,306.67,3.23,114.32,7.0,2.0,3.0,3.0,
CHEMBL1325021,,,Small molecule,MOL,COc1ccccc1N(C(=O)CCl)c1cn(C(C)=O)c2ccccc12,FKZSWIPTPGQJJO-UHFFFAOYSA-N,356.81,4.21,51.54,4.0,0.0,4.0,3.0,
CHEMBL1330781,,,Small molecule,MOL,Cc1ccc(/C=C2\Sc3ccccc3C2=O)s1,GJGVJHSDPXITJE-JYRVWZFOSA-N,258.37,4.39,17.07,3.0,0.0,1.0,2.0,
CHEMBL1337591,,,Small molecule,MOL,CC(=O)NC1C(=O)N(CCN2CCOCC2)c2ccc(C)cc21,KXPLUTCHIGLLEB-UHFFFAOYSA-N,317.39,0.85,61.88,4.0,1.0,4.0,1.0,
CHEMBL1337592,,,Small molecule,MOL,COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2cccc(Cl)c2)cc1,WZPVBLAQLFFXTN-UHFFFAOYSA-N,449.38,5.11,58.64,3.0,1.0,7.0,2.0,
CHEMBL1347560,,,Small molecule,MOL,O=C(Oc1ccc(-n2cnnn2)cc1)c1ccco1,YKWCPKVUVRKKEX-UHFFFAOYSA-N,256.22,1.47,83.04,7.0,0.0,3.0,3.0,
CHEMBL1347586,,,Small molecule,MOL,O=C(C(Cl)Cl)N1c2ccccc2OCC1c1ccccc1,WTYYCRKMUKXOSB-UHFFFAOYSA-N,322.19,3.96,29.54,2.0,0.0,2.0,2.0,
CHEMBL1347633,,,Small molecule,MOL,CC(CNc1ccccc1O)C(=O)O,VXPKXHGFYVGAPT-UHFFFAOYSA-N,195.22,1.52,69.56,3.0,3.0,4.0,1.0,
CHEMBL1359835,,,Small molecule,MOL,COc1ccc(OCc2cc(C(=O)N3CCCC(OC)C3)no2)c2ccccc12,DFGZDXVUEQRSGU-UHFFFAOYSA-N,396.44,3.67,74.03,6.0,0.0,6.0,3.0,
CHEMBL1359931,,,Small molecule,MOL,CCOc1ccc(-c2[nH]nc3c2C(c2ccoc2)C(C#N)=C(N)O3)cc1,VYUDEOJFYNCAMU-UHFFFAOYSA-N,348.36,3.29,110.09,6.0,2.0,4.0,3.0,
CHEMBL1359933,,,Small molecule,MOL,CCOc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1OC,MFRHFEWSEQENDR-UHFFFAOYSA-N,358.40,2.75,116.28,6.0,4.0,6.0,3.0,
CHEMBL1364861,,,Small molecule,MOL,CC(C)c1n[nH]c2c1C(Cc1ccccc1)C(C#N)=C(N)O2,ZGHROGUHGFCADE-UHFFFAOYSA-N,294.36,2.95,87.72,4.0,2.0,3.0,2.0,
CHEMBL1364896,,,Small molecule,MOL,CCNc1ccccc1CP(=O)(c1ccccc1)c1ccccc1O,IRSZJQSWKITYOA-UHFFFAOYSA-N,351.39,4.34,49.33,3.0,2.0,6.0,3.0,
CHEMBL1365118,,,Small molecule,MOL,COC1=C(Nc2ccc(O)cc2)C(=O)c2ccccc2C1=O,BMAYEIGETIZYBV-UHFFFAOYSA-N,295.29,2.74,75.63,5.0,2.0,3.0,2.0,
CHEMBL1368727,,,Small molecule,MOL,O=[N+]([O-])c1cc(-c2ccc(C(=S)N3CCOCC3)o2)ccc1Cl,NOWMAIRWSVFIGZ-UHFFFAOYSA-N,352.80,3.52,68.75,5.0,0.0,3.0,2.0,
CHEMBL1370838,,,Small molecule,MOL,Cc1[nH]c2ccccc2c1C(C#N)(C#N)C1C(=O)c2ccccc2C1=O,STVUWNZRVYWDSV-UHFFFAOYSA-N,339.35,3.46,97.51,4.0,1.0,2.0,3.0,
CHEMBL1370899,,,Small molecule,MOL,Cc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1Cl,HUMJXLGUUGNQCK-UHFFFAOYSA-N,341.19,2.30,49.85,4.0,0.0,2.0,1.0,
CHEMBL1377533,,,Small molecule,MOL,CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2ccc3ccccc3c2)cc1Br,SSARAOHVKXASDW-UHFFFAOYSA-N,462.32,4.27,80.75,5.0,0.0,4.0,3.0,
CHEMBL1387378,,,Small molecule,MOL,CCOc1cc(/C=C2\C(=N)N3N=C(S(=O)(=O)CC)SC3=NC2=O)ccc1OC(=O)c1ccco1,PFBPXMWXDNQIIC-GOPRIXMCSA-N,502.53,2.91,151.69,10.0,1.0,6.0,2.0,
CHEMBL1387436,,,Small molecule,MOL,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc2c(c1)OCO2,BQBORCXDKZDXKB-UHFFFAOYSA-N,293.26,2.03,103.59,7.0,1.0,3.0,2.0,
CHEMBL1387615,,,Small molecule,MOL,Cc1n[nH]c2c1C(c1ccc(OC(=O)c3ccco3)cc1)C(C#N)=C(N)O2,YNUGWMQBQHUMLQ-UHFFFAOYSA-N,362.35,2.75,127.16,7.0,2.0,3.0,3.0,
CHEMBL1395600,,,Small molecule,MOL,CC(=O)c1ccc(-c2cccc(-c3nc4ccccn4c3NC3CCCCC3)c2)cc1.O=C(O)C(F)(F)F,FOVSFRPQCLSJNT-UHFFFAOYSA-N,523.56,6.62,46.40,4.0,1.0,5.0,4.0,
CHEMBL1399683,,,Small molecule,MOL,O=C1COc2ccc(C(=O)CCl)cc2N1,MIAHXWVABDHISZ-UHFFFAOYSA-N,225.63,1.44,55.40,3.0,1.0,2.0,1.0,
CHEMBL1404492,,,Small molecule,MOL,Cc1noc(C)c1CSCC(=O)Oc1ccc(N(C)S(=O)(=O)c2ccccc2)cc1,ZUGZYCGZJPSQDL-UHFFFAOYSA-N,446.55,3.96,89.71,7.0,0.0,8.0,3.0,
CHEMBL1404559,,,Small molecule,MOL,CCCC(=O)OCCNc1cc(SCc2ccco2)c2nonc2c1[N+](=O)[O-],AFPCFKRBRCPEOR-UHFFFAOYSA-N,406.42,3.77,133.53,10.0,1.0,10.0,3.0,
CHEMBL1410562,,,Small molecule,MOL,Cc1nn(Cc2ccccc2)c2c1C(c1cccc(Cl)c1)C(C#N)=C(N)O2,RQDMRECGWKSRHK-UHFFFAOYSA-N,376.85,4.11,76.86,5.0,1.0,3.0,3.0,
CHEMBL1439030,,,Small molecule,MOL,CC(=O)c1c(Cl)nc2cccc3c2c1-c1ccccc1C3=O,FIAZOXXQTRZNNL-UHFFFAOYSA-N,307.74,4.30,47.03,3.0,0.0,1.0,3.0,
CHEMBL1443601,,,Small molecule,MOL,COC(=O)c1ccc2c(c1O)C(=O)c1ccccc1C2=O,BJKGQODYLJQOBA-UHFFFAOYSA-N,282.25,1.95,80.67,5.0,1.0,1.0,2.0,
CHEMBL1443679,,,Small molecule,MOL,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C(C)C)cc1,KNWCZRXQURNYDN-MDZDMXLPSA-N,387.46,4.21,92.70,5.0,2.0,6.0,2.0,
CHEMBL1449346,,,Small molecule,MOL,COC(=O)CC1=NN(c2ccccc2)C(=O)C1,RJIDGRHOHFDKKB-UHFFFAOYSA-N,232.24,1.34,58.97,4.0,0.0,3.0,1.0,
CHEMBL1449387,,,Small molecule,MOL,Cc1cc(C)cc(S(=O)(=O)c2cnc3ccccc3n2)c1,LLFJKMJCYIKABQ-UHFFFAOYSA-N,298.37,3.08,59.92,4.0,0.0,2.0,3.0,
CHEMBL1455724,,,Small molecule,MOL,CCOC(=O)CSc1nnc(NCC(=O)OC)c(O)n1,MBIHPOLMAULLDA-UHFFFAOYSA-N,302.31,-0.18,123.53,10.0,2.0,7.0,1.0,
CHEMBL1455957,,,Small molecule,MOL,CCc1nc2c([nH]1)c1no[n+]([O-])c1c1no[n+]([O-])c21,JCALPTOBMSSINF-UHFFFAOYSA-N,262.19,-0.33,134.62,7.0,1.0,1.0,4.0,
CHEMBL1459167,,,Small molecule,MOL,Cc1nn(-c2ccccc2)c2c1C(c1cccs1)C(C#N)=C(N)O2,GXBJEUPMVNNELF-UHFFFAOYSA-N,334.40,3.46,76.86,6.0,1.0,2.0,3.0,
CHEMBL1465945,,,Small molecule,MOL,Cn1c(=O)c([N+](=O)[O-])c(-n2cnc3ccccc32)c2ccccc21,SLLKJHBUGBFIIC-UHFFFAOYSA-N,320.31,2.79,82.96,6.0,0.0,2.0,4.0,
CHEMBL1465979,,,Small molecule,MOL,Cc1ccc(SC(=O)c2sc(C)nc2C(F)(F)F)cc1,YSFAXDHDPRZXTB-UHFFFAOYSA-N,317.36,4.71,29.96,4.0,0.0,2.0,2.0,
CHEMBL1478145,,,Small molecule,MOL,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)N(CCCN(C)C)c2nc3cc(C)cc(C)c3s2)cc1.Cl,JWMOMRFDDBUOMI-UHFFFAOYSA-N,601.24,5.72,73.82,6.0,0.0,11.0,4.0,
CHEMBL1478235,,,Small molecule,MOL,CC(=O)Nc1cc(OC(=O)c2ccco2)cc(OC(=O)c2ccco2)c1,ZQYCCCCXSWLPJP-UHFFFAOYSA-N,355.30,3.27,107.98,7.0,1.0,5.0,3.0,
CHEMBL1483112,,,Small molecule,MOL,CCCSc1nnc(Sc2nnnn2-c2ccccc2)s1,WHUUOISPINJTGK-UHFFFAOYSA-N,336.47,3.17,69.38,9.0,0.0,6.0,3.0,
CHEMBL1488929,,,Small molecule,MOL,CCOC(=O)c1cnc2ccc(C)cc2c1Sc1ccccc1,KHAUJNRNSHWWKX-UHFFFAOYSA-N,323.42,4.87,39.19,4.0,0.0,4.0,3.0,
CHEMBL1495170,,,Small molecule,MOL,CCOC(=O)C(Nc1ccc2ccccc2c1)C(=O)OCC,ACVAPXTZJANMHB-UHFFFAOYSA-N,301.34,2.75,64.63,5.0,1.0,6.0,2.0,
CHEMBL1495230,,,Small molecule,MOL,Cc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(-c4ccccc4)c32)o1,RHFYTPBFUBYXOL-UHFFFAOYSA-N,318.34,3.20,100.86,5.0,2.0,2.0,3.0,
CHEMBL1498517,,,Small molecule,MOL,CC1CCCC(NC(=O)NC(=O)CCl)C1C,HMBFDDSLYMRBIX-UHFFFAOYSA-N,246.74,1.88,58.20,2.0,2.0,2.0,0.0,
CHEMBL1498652,,,Small molecule,MOL,O=C1C(C2=C(O)c3ccccc3C2=O)=Nc2ccccc21,BAKONHLLIOUFIF-UHFFFAOYSA-N,275.26,3.12,66.73,4.0,1.0,1.0,2.0,
CHEMBL1517493,,,Small molecule,MOL,COc1ccc(/C=C/C(=O)c2ccncc2)c2ccccc12,ALBGDTTZLJJWIJ-SOFGYWHQSA-N,289.33,4.14,39.19,3.0,0.0,4.0,3.0,
CHEMBL1522349,,,Small molecule,MOL,CCOC(=O)c1nn(-c2ccccc2C)c(=O)c2c(N)scc12,SXGQRQVITZAZLR-UHFFFAOYSA-N,329.38,2.51,87.21,7.0,1.0,3.0,3.0,
CHEMBL1522503,,,Small molecule,MOL,COc1ccc(-c2[nH]nc3c2C(c2ccsc2)C(C#N)=C(N)O3)cc1,XCUIUPDJQZIQLA-UHFFFAOYSA-N,350.40,3.36,96.95,6.0,2.0,3.0,3.0,
CHEMBL1528243,,,Small molecule,MOL,CC1=NNC(=O)C1Oc1ccccc1,UDHDHGOVCKERAW-UHFFFAOYSA-N,190.20,0.94,50.69,3.0,1.0,2.0,1.0,
CHEMBL1528476,,,Small molecule,MOL,O=C1NC(=S)N(C2CCCCC2)C(=O)/C1=C/NNC(=O)c1ccccc1O,CMOJFCJULDLNOC-JLHYYAGUSA-N,388.45,1.09,110.77,6.0,4.0,4.0,1.0,
CHEMBL1534503,,,Small molecule,MOL,COc1ccccc1-c1cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N2CCCCC2C)n1,MMMYILSKKOGDDD-UHFFFAOYSA-N,485.53,4.13,89.46,6.0,0.0,7.0,2.0,
CHEMBL1537615,,,Small molecule,MOL,COc1cccc(-n2nc(C#N)c(Cl)cc2=O)c1,UFMCKVMKMODNOM-UHFFFAOYSA-N,261.67,1.77,67.91,5.0,0.0,2.0,2.0,
CHEMBL1544483,,,Small molecule,MOL,C=CSc1sc(Cl)c(N2CCOCC2)c1[N+](=O)[O-],IIQGITRLJDNGTC-UHFFFAOYSA-N,306.80,3.38,55.61,6.0,0.0,4.0,1.0,
CHEMBL1544548,,,Small molecule,MOL,COc1ccc(Nc2cnn(-c3nc4ccccc4s3)c(=O)c2Cl)cc1,HYQUOVSOMUYSEM-UHFFFAOYSA-N,384.85,4.25,69.04,7.0,1.0,4.0,4.0,
CHEMBL1556498,,,Small molecule,MOL,COc1ccc(C(=O)C2C(c3ccc(-c4ccccc4[N+](=O)[O-])o3)NC(=O)NC2(O)C(F)(F)F)cc1,KPZXGJQJCQTHMA-UHFFFAOYSA-N,505.41,3.97,143.94,7.0,3.0,6.0,3.0,
CHEMBL1556583,,,Small molecule,MOL,Cn1c(SCC(=O)NCC2CCCO2)ncc(C(=O)Nc2ccc(Cl)cc2)c1=O,SFLVJCDNCVMGFN-UHFFFAOYSA-N,436.92,2.07,102.32,7.0,2.0,7.0,2.0,
CHEMBL1565268,,,Small molecule,MOL,CCOC(=O)c1nc(O)c2ccccc2c1O,BOBTXTQSXBWIOR-UHFFFAOYSA-N,233.22,1.82,79.65,5.0,2.0,2.0,2.0,
CHEMBL1567246,,,Small molecule,MOL,CCOc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1OCC,UXKCQWZFZDBUQG-UHFFFAOYSA-N,372.43,3.14,116.28,6.0,4.0,7.0,3.0,
CHEMBL1567264,,,Small molecule,MOL,COC(=O)Nc1nn(-c2ccc(OC)cc2)c(=O)c(C#N)c1C,UHNXXLDZSCCVIU-UHFFFAOYSA-N,314.30,1.60,106.24,7.0,1.0,3.0,2.0,
CHEMBL1573265,,,Small molecule,MOL,N#Cc1ccc(-n2c(-c3ccccc3)nnc2-c2ccccc2)cc1C#N,SXYLUHXVLAHSNH-UHFFFAOYSA-N,347.38,4.34,78.29,5.0,0.0,3.0,4.0,
CHEMBL1573331,,,Small molecule,MOL,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(OC(F)(F)F)cc1,KECMZASBKJCDSY-UHFFFAOYSA-N,383.35,4.24,75.63,4.0,2.0,4.0,3.0,
CHEMBL1573427,,,Small molecule,MOL,Cc1ccc(SCC2=NNC(=O)C2)cc1,FZEBKODMKOLCMK-UHFFFAOYSA-N,220.30,1.96,41.46,3.0,1.0,3.0,1.0,
CHEMBL1576416,,,Small molecule,MOL,Oc1ncc(NCCc2ccccc2)c(O)n1,YTAWLGVMCALKQG-UHFFFAOYSA-N,231.25,1.54,78.27,5.0,3.0,4.0,2.0,
CHEMBL1576509,,,Small molecule,MOL,COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C,VVUUOSZAOBPVTG-FOWTUZBSSA-N,292.34,3.50,41.90,3.0,0.0,3.0,2.0,
