feature,importance,std
ExtFP953,0.024206349206349186,0.010491511163811343
FP691,0.02261904761904761,0.009482383448689315
ExtFP491,0.01785714285714285,0.0074767633656415994
ExtFP947,0.01785714285714284,0.006580604742768673
GraphFP1004,0.01706349206349204,0.005764221843783338
GraphFP723,0.01706349206349204,0.008793063415143005
FP79,0.016269841269841247,0.00921284663987612
FP235,0.01587301587301585,0.006640158940746647
PubchemFP712,0.015873015873015844,0.008323879747382162
ExtFP90,0.015873015873015844,0.006147592613027659
AD2D92,0.015476190476190444,0.005872479597995543
FP619,0.015476190476190444,0.005872479597995543
MACCSFP117,0.015476190476190444,0.005872479597995543
FP725,0.015079365079365054,0.0070541225534250865
GraphFP695,0.014682539682539653,0.0076433969381977124
ExtFP244,0.014285714285714263,0.00925547919816715
ExtFP593,0.014285714285714258,0.006447649527488868
FP636,0.014285714285714245,0.0047619047619047675
FP351,0.013888888888888873,0.008276449847069142
FP368,0.013888888888888857,0.00788674877553643
FP775,0.013492063492063472,0.007142857142857157
ExtFP492,0.013492063492063472,0.009083748525602859
FP127,0.013492063492063461,0.006198610853894175
ExtFP621,0.012698412698412681,0.008093681767607604
FP26,0.012698412698412664,0.005832118435198043
ExtFP137,0.012698412698412659,0.005264483794214913
ExtFP540,0.01230158730158728,0.008122813289864573
ExtFP800,0.012301587301587275,0.007306330412508718
FP973,0.011507936507936484,0.008501700510170058
ExtFP257,0.011507936507936477,0.00638630037279011
ExtFP159,0.011111111111111082,0.006827242275430652
ExtFP243,0.011111111111111072,0.005264483794214902
PubchemFP375,0.011111111111111072,0.004627739599083555
ExtFP807,0.010714285714285687,0.0076433969381976994
ExtFP247,0.009920634920634896,0.007476763365641577
GraphFP540,0.009920634920634885,0.006083218141569776
SubFP169,0.009920634920634885,0.00494043634840821
GraphFP969,0.009523809523809495,0.005939138709164978
FP666,0.008730158730158704,0.008285957546754392
GraphFP271,0.0087301587301587,0.003459443605984649
GraphFP588,0.0087301587301587,0.004956347617776489
FP457,0.0087301587301587,0.005555555555555536
PubchemFP437,0.0087301587301587,0.005555555555555536
GraphFP120,0.0087301587301587,0.004273940323122607
GraphFP937,0.008333333333333314,0.00772536600552848
GraphFP285,0.008333333333333304,0.003048073709471659
ExtFP324,0.008333333333333304,0.00638630037279009
GraphFP892,0.008333333333333304,0.00467850242958395
FP14,0.007936507936507914,0.0066401589407466205
ExtFP537,0.007936507936507914,0.0056119585808456105
FP799,0.007936507936507908,0.006147592613027624
GraphFP387,0.007936507936507908,0.0050194883494736
ExtFP424,0.007936507936507908,0.0050194883494736
ExtFP453,0.007936507936507908,0.005611958580845596
ExtFP41,0.007936507936507908,0.006147592613027624
FP875,0.007539682539682513,0.00467850242958395
FP338,0.007142857142857123,0.009014140231428984
FP870,0.0071428571428571175,0.005555555555555536
PubchemFP390,0.0071428571428571175,0.002380952380952372
GraphFP865,0.0071428571428571175,0.004273940323122606
GraphFP988,0.006746031746031722,0.005764221843783293
GraphFP44,0.006746031746031722,0.004541874262801411
FP327,0.006746031746031722,0.002833900170056676
GraphFP891,0.006746031746031722,0.0037854730214958027
ExtFP824,0.006349206349206327,0.004046840883803782
PubchemFP477,0.006349206349206327,0.0031746031746031633
MACCSFP69,0.005952380952380931,0.003436608745176332
PubchemFP613,0.005952380952380931,0.003436608745176332
FP146,0.005952380952380931,0.003436608745176332
ExtFP829,0.005952380952380931,0.003436608745176332
GraphFP618,0.005952380952380931,0.003436608745176332
PubchemFP515,0.005952380952380931,0.003436608745176332
FP800,0.005952380952380931,0.003436608745176332
ExtFP165,0.005952380952380931,0.003436608745176332
GraphFP116,0.005555555555555536,0.005081844632883196
GraphFP517,0.005555555555555536,0.006687420454901849
GraphFP735,0.005555555555555536,0.003636964837266527
ExtFP133,0.005555555555555536,0.005081844632883195
FP645,0.00515873015873014,0.0037854730214958027
AD2D91,0.00515873015873014,0.0037854730214958027
MACCSFP77,0.00515873015873014,0.0037854730214958027
PubchemFP696,0.00515873015873014,0.005764221843783293
FP895,0.00515873015873014,0.0037854730214958027
FP393,0.00515873015873014,0.004541874262801411
FP249,0.00515873015873014,0.005189165408976974
FP882,0.004761904761904745,0.003888078956798681
PubchemFP346,0.004761904761904745,0.005264483794214902
FP69,0.004761904761904745,0.0058321184351980224
ExtFP303,0.00436507936507935,0.00467850242958395
ExtFP119,0.00436507936507935,0.003948362845661177
ExtFP708,0.00436507936507935,0.0053091619683569855
FP811,0.00436507936507935,0.0058724795979955115
GraphFP552,0.00436507936507935,0.003948362845661177
GraphFP171,0.003968253968253954,0.005323971374999481
ExtFP353,0.003968253968253954,0.010194629030686596
FP837,0.003968253968253954,0.005323971374999481
FP548,0.003968253968253954,0.003968253968253954
FP186,0.003968253968253954,0.00731709877562925
FP271,0.003968253968253954,0.005323971374999481
FP135,0.003968253968253954,0.003968253968253954
FP528,0.0035714285714285587,0.003948362845661177
ExtFP968,0.0035714285714285587,0.003948362845661177
GraphFP983,0.0035714285714285587,0.003948362845661177
GraphFP738,0.0035714285714285587,0.00467850242958395
PubchemFP590,0.0031746031746031633,0.003888078956798681
FP1005,0.0031746031746031633,0.003888078956798681
ExtFP320,0.0031746031746031633,0.003888078956798681
FP416,0.0031746031746031633,0.004627739599083555
GraphFP698,0.0031746031746031633,0.003888078956798681
GraphFP741,0.0031746031746031633,0.003888078956798681
ExtFP935,0.002777777777777768,0.0037854730214958027
GraphFP783,0.002777777777777768,0.0037854730214958027
GraphFP904,0.002777777777777768,0.0037854730214958027
GraphFP277,0.002777777777777768,0.0037854730214958027
GraphFP858,0.0023809523809523725,0.003636964837266527
GraphFP140,0.0023809523809523725,0.003636964837266527
ExtFP311,0.0023809523809523725,0.003636964837266527
ExtFP145,0.0023809523809523725,0.003636964837266527
ExtFP853,0.0023809523809523725,0.003636964837266527
FP594,0.0023809523809523725,0.003636964837266527
FP195,0.001984126984126977,0.005541365096733687
FP923,0.001984126984126977,0.003436608745176332
GraphFP390,0.001984126984126977,0.003436608745176332
GraphFP553,0.001984126984126977,0.003436608745176332
ExtFP743,0.001984126984126977,0.003436608745176332
FP526,0.001984126984126977,0.003436608745176332
GraphFP699,0.001984126984126977,0.003436608745176332
FP763,0.0015873015873015817,0.0031746031746031633
ExtFP200,0.0015873015873015817,0.0031746031746031633
MACCSFP57,0.0015873015873015817,0.0031746031746031633
FP279,0.0011904761904761862,0.002833900170056676
ExtFP740,0.0011904761904761862,0.002833900170056677
PubchemFP614,0.0011904761904761862,0.002833900170056677
GraphFP195,0.0011904761904761862,0.002833900170056676
GraphFP129,0.0011904761904761862,0.002833900170056677
PubchemFP621,0.0011904761904761862,0.002833900170056677
FP339,0.0011904761904761862,0.005189165408976975
ExtFP850,0.0007936507936507853,0.008285957546754387
PubchemFP431,0.0,0.0
PubchemFP450,0.0,0.0
ExtFP442,0.0,0.0
FP322,0.0,0.0
ExtFP194,0.0,0.0
GraphFP716,0.0,0.0
PubchemFP467,0.0,0.0
GraphFP940,0.0,0.0
GraphFP498,0.0,0.0
FP403,0.0,0.0
GraphFP786,0.0,0.0
PubchemFP617,0.0,0.0
FP599,0.0,0.0
GraphFP489,0.0,0.0
GraphFP348,0.0,0.0
PubchemFP644,0.0,0.0
PubchemFP667,0.0,0.0
ExtFP404,0.0,0.0
GraphFP679,0.0,0.0
GraphFP641,0.0,0.0
PubchemFP406,0.0,0.0
GraphFP60,0.0,0.0
GraphFP196,0.0,0.0
GraphFP302,0.0,0.0
GraphFP73,0.0,0.0
GraphFP154,0.0,0.0
KRFP1148,0.0,0.0
KRFP2949,0.0,0.0
MACCSFP139,0.0,0.0
PubchemFP308,0.0,0.0
FP286,0.0,0.0
PubchemFP620,0.0,0.0
PubchemFP632,0.0,0.0
GraphFP943,0.0,0.0
ExtFP555,0.0,0.0
GraphFP869,0.0,0.0
GraphFP713,0.0,0.0
ExtFP288,0.0,0.0
GraphFP397,0.0,0.0
ExtFP579,0.0,0.0
EStateFP34,0.0,0.0
ExtFP938,0.0,0.0
KRFP3926,0.0,0.0
GraphFP880,0.0,0.0
FP375,0.0,0.0
KRFP3773,0.0,0.0
MACCSFP95,0.0,0.0
ExtFP467,0.0,0.0
FP23,0.0,0.0
GraphFP638,0.0,0.0
ExtFP610,0.0,0.0
GraphFP475,0.0,0.0
ExtFP560,0.0,0.0
ExtFP777,0.0,0.0
AD2D170,0.0,0.0
GraphFP14,0.0,0.0
ExtFP978,0.0,0.0050194883494736
GraphFP754,0.0,0.0
ExtFP164,0.0,0.0
FP733,0.0,0.0
GraphFP691,0.0,0.0
FP346,0.0,0.0
