model,accuracy,precision,recall,f1_score,mcc,roc_auc
SVM,0.8492063492063492,0.8793103448275862,0.8095238095238095,0.8429752066115702,0.7006227308283303,0.8977072310405644
XGBoost,0.8253968253968254,0.847457627118644,0.7936507936507936,0.819672131147541,0.6521093835510692,0.8944318468127992
RandomForest,0.8333333333333334,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.6735753140545634,0.8813303099017384
