model,accuracy,precision,recall,f1_score,roc_auc
SVM,0.8571428571428571,0.8947368421052632,0.8095238095238095,0.85,0.927185689090451
XGBoost,0.8174603174603174,0.8225806451612904,0.8095238095238095,0.816,0.9188712522045854
RandomForest,0.8174603174603174,0.8846153846153846,0.7301587301587301,0.8,0.8989669942050895
CatBoost,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058,0.8951877047115142
