model,feature_set,fingerprint_feature_count,descriptor_feature_count,train_accuracy,train_f1_score,train_roc_auc,test_accuracy,test_f1_score,test_roc_auc
SVM,top_100_fingerprints_plus_chembl_descriptors,100,0,0.9482071713147411,0.9488188976377953,0.9891112839478738,0.873015873015873,0.864406779661017,0.9256739732930209
XGBoost,top_100_fingerprints_plus_chembl_descriptors,100,0,0.9860557768924303,0.9861386138613861,0.9973175028967793,0.8492063492063492,0.8347826086956521,0.9075333837238599
RandomForest,top_100_fingerprints_plus_chembl_descriptors,100,0,0.9123505976095617,0.9109311740890689,0.9732226472595673,0.8253968253968254,0.8103448275862069,0.8941798941798942
