model,accuracy,precision,recall,f1_score,mcc,roc_auc
RandomForest,0.6713596616291228,0.6790372284429131,0.6533754063874546,0.6655189271719428,0.3432705644047982,0.7561282545146573
XGBoost,0.6654310426765516,0.6639618340323601,0.6694874737043411,0.66657326982348,0.33093173272585735,0.7413059266544636
SVM,0.6335543199315654,0.631604930190187,0.6413750239051443,0.6359923330863503,0.2674063336646946,0.7003814578040051
