molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1305642,CC(C)c1ccc(/C=C(\c2nc3ccccc3[nH]2)S(=O)(=O)c2ccccc2)cc1,2010.0,intermediate
CHEMBL1328712,N#CC(C#N)=C(C#N)c1ccc(Nc2ccccc2)cc1,2490.0,intermediate
CHEMBL1572001,CC(C)(C)c1ccc(-n2nc(C#N)c(Cl)cc2=O)cc1,989.0,active
CHEMBL1481657,CCCCCc1cc(=O)oc2c(C(CCN3CCCC(C)C3)c3ccc4c(c3)OCO4)c(OC)cc(OC)c12,11600.0,inactive
CHEMBL1533236,COCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,4350.0,intermediate
CHEMBL1533248,CC(C)(C)c1c(Cl)c(O)c(-c2ccccc2)c(=O)n1-c1ccccc1,27200.0,inactive
CHEMBL1550425,COc1ccc(-n2c(=O)c3ccccc3c3ccccc3c2=O)cc1,23300.0,inactive
CHEMBL3188273,CN1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)S/C1=N\c1ccc(Cl)c(C(=O)O)c1,5510.0,intermediate
CHEMBL1533269,O=C(CN1C(=O)S/C(=C\C=C\c2ccccc2)C1=O)Nc1ccccc1C(=O)O,10800.0,inactive
CHEMBL1415639,CCOC(=O)CC1=NN(c2ccccc2)C(=O)C1,10100.0,inactive
CHEMBL1589309,O=C(CSc1nnc(-c2ccccc2Cl)o1)Oc1ccc(Br)cc1,3000.0,intermediate
CHEMBL1305658,CCCc1n[nH]c2c1C(c1ccc(OC)c(CSC3=NCCS3)c1)C(C#N)=C(N)O2,4560.0,intermediate
CHEMBL3191961,CCc1nnc(N/N=C/c2cc(Br)c(O)cc2O)n1N,9310.0,intermediate
CHEMBL1542511,CC1=NN(c2ccccc2)C(=O)/C1=C/c1cccs1,4530.0,intermediate
CHEMBL1463943,COc1ccc(/C=C/C(=O)c2ccccc2)cc1COc1ccc(F)cc1,37200.0,inactive
CHEMBL1424975,O=C1C2=[N+]([O-])C3CCCCC3[N+]([O-])=C2c2ccccc21,9540.0,intermediate
CHEMBL1581228,CCOc1ccccc1Oc1coc2cc(OC(=O)c3ccco3)ccc2c1=O,35700.0,inactive
CHEMBL390559,Cc1nn(-c2ccccc2)c(Cl)c1/C=C1\SC(=S)N(CCCCCC(=O)O)C1=O,14200.0,inactive
CHEMBL1345835,O=C(NC1CCCC1)C(c1ccc(F)cc1)N(Cc1ccccc1Cl)C(=O)CCl,215.0,active
CHEMBL1581425,COCCN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccccc1C,1280.0,intermediate
CHEMBL1385690,CCCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],1270.0,intermediate
CHEMBL1589428,CCOC(=O)C(C)Sc1ncnc2c1nnn2-c1ccc(F)cc1,10900.0,inactive
CHEMBL1542693,CN(C1=C(NC(=O)c2ccccc2)C(=O)c2ccccc2C1=O)C1CCS(=O)(=O)C1,108.0,active
CHEMBL1503656,CSc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,241.0,active
CHEMBL1603753,COC(=O)CCSc1cc(NCCOC(C)=O)c([N+](=O)[O-])c2nonc12,4630.0,intermediate
CHEMBL1503634,COc1ccc(O)c(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)c1,1170.0,intermediate
CHEMBL1385784,CC(=O)n1cc(N(C(=O)CCl)c2ccc(Cl)cc2)c2ccccc21,346.0,active
CHEMBL1313693,O=[N+]([O-])C(/C=C(\Cl)[N+](=O)[O-])=C1N(Cc2ccc(Cl)nc2)CCN1Cc1ccc(Cl)nc1,8490.0,intermediate
CHEMBL1425245,COC(CN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccc(C)cc1)OC,7000.0,intermediate
CHEMBL1345762,Cc1ccc(C)c(-c2ccc(=O)n(Cc3cccc(Br)c3)n2)c1,24100.0,inactive
CHEMBL1368829,CCCCCCOC(=O)c1ccc(OC(=O)c2cccnc2)cc1,3580.0,intermediate
CHEMBL1454614,O=C1C=C(N2CCOCC2)c2ccccc2C1=O,150.0,active
