model,roc_auc
RF_k40,0.8823381204333586
ExtraTrees_k40,0.8823381204333584
ExtraTrees_k120,0.8760393046107333
RF_k120,0.8750314940791131
RF_k80,0.873015873015873
XGB_k80,0.872260015117158
ExtraTrees_k80,0.870748299319728
XGB_k120,0.8566389518770472
XGB_k40,0.8455530360292266
LinearSVM_k40,0.8347190728143108
LinearSVM_k120,0.8264046359284455
LinearSVM_k80,0.780045351473923
